subnum,flanker_text,congruency,direction,Response_Time,Response,Accuracy
12,< < < < <,0,1,-0.5314558729878627,z,1
12,> > > > >,0,0,0.7501999380037887,slash,1
12,< < < < <,0,1,0.37441296699398663,z,1
12,< < < < <,0,1,0.38459845099714585,z,1
12,> > < > >,1,1,0.9217814689909574,slash,0
12,< < < < <,0,1,0.3700934170046821,z,1
12,< < < < <,0,1,0.32880317700619344,z,1
12,> > > > >,0,0,0.2991558490030002,slash,1
12,< < > < <,1,0,0.3844730340060778,slash,1
12,< < < < <,0,1,0.3294864660128951,z,1
12,> > > > >,0,0,0.3442650200013304,slash,1
12,> > < > >,1,1,0.4663925030035898,z,1
12,< < < < <,0,1,0.34487433900358155,z,1
12,> > > > >,0,0,0.3637432859977707,slash,1
12,< < > < <,1,0,0.47856617700017523,slash,1
12,> > > > >,0,0,0.5017788379918784,slash,1
12,< < < < <,0,1,0.411297515995102,z,1
12,> > > > >,0,0,0.3740745760005666,slash,1
12,> > > > >,0,0,0.3921004049916519,slash,1
12,< < > < <,1,0,0.4513752869970631,slash,1
12,< < < < <,0,1,0.41641220900055487,z,1
12,< < < < <,0,1,0.72835883400694,z,1
12,< < < < <,0,1,0.4316499359993031,z,1
12,> > > > >,0,0,,,-1
12,> > > > >,0,0,0.28244143500342034,slash,1
12,< < < < <,0,1,0.20240557899523992,slash,0
12,> > < > >,1,1,0.38992870999209117,z,1
12,> > > > >,0,0,0.3737792300089495,slash,1
12,> > > > >,0,0,0.39039450300333556,slash,1
12,> > > > >,0,0,0.28927041799761355,z,0
12,< < < < <,0,1,0.3670659839990549,z,1
12,> > > > >,0,0,0.331618971991702,slash,1
12,> > > > >,0,0,0.3668004969949834,slash,1
12,< < < < <,0,1,0.3262264119985048,z,1
12,> > > > >,0,0,0.31864679499994963,slash,1
12,< < < < <,0,1,0.31124277799972333,z,1
12,> > > > >,0,0,0.2880611880100332,slash,1
12,> > > > >,0,0,0.32169527099176776,slash,1
12,> > > > >,0,0,0.6207209400017746,slash,1
12,> > > > >,0,0,0.3542466999933822,slash,1
12,< < < < <,0,1,0.34881010800017975,z,1
12,< < > < <,1,0,0.42766130800009705,slash,1
12,> > > > >,0,0,0.3700879029929638,slash,1
12,< < < < <,0,1,0.274684278992936,z,1
12,< < < < <,0,1,0.34539168199989945,z,1
12,< < < < <,0,1,0.317910498008132,z,1
12,< < < < <,0,1,0.35531371099932585,z,1
12,< < < < <,0,1,0.3315052849939093,z,1
12,< < > < <,1,0,0.28440888099430595,z,0
12,< < < < <,0,1,0.3408923179958947,z,1
12,> > < > >,1,1,0.29950485200970434,slash,0
12,> > > > >,0,0,0.38144539001223166,slash,1
12,> > > > >,0,0,0.3622279900009744,slash,1
12,< < < < <,0,1,0.36227261199383065,z,1
12,> > < > >,1,1,0.6020867859915597,z,1
12,> > > > >,0,0,0.3905476660002023,slash,1
12,< < > < <,1,0,0.40002536999236327,slash,1
12,< < < < <,0,1,0.37413583300076425,z,1
12,> > > > >,0,0,0.36626168800285086,slash,1
12,< < > < <,1,0,0.4523540369991679,slash,1
12,> > > > >,0,0,0.3657196709973505,slash,1
12,< < < < <,0,1,0.3493121810024604,z,1
12,< < > < <,1,0,0.41061547699791845,slash,1
12,> > < > >,1,1,0.44741163299477194,z,1
12,> > > > >,0,0,0.35058559400204103,slash,1
12,< < < < <,0,1,0.28618300599919166,z,1
12,< < < < <,0,1,0.3853827840066515,z,1
12,> > > > >,0,0,0.31742101500276476,slash,1
12,> > < > >,1,1,0.45645420500659384,z,1
12,< < < < <,0,1,0.35374583399971016,z,1
12,> > > > >,0,0,0.3262864189891843,slash,1
12,> > > > >,0,0,0.33889528999861795,slash,1
12,< < < < <,0,1,0.37411711999448016,z,1
12,> > < > >,1,1,0.46135078799852636,z,1
12,< < < < <,0,1,0.357445962014026,z,1
12,> > > > >,0,0,0.35310496999591123,slash,1
12,< < < < <,0,1,0.3529641050117789,z,1
12,> > < > >,1,1,0.49130899998999666,z,1
12,< < < < <,0,1,0.36303017400496174,z,1
12,< < > < <,1,0,0.4280722180119483,slash,1
12,< < < < <,0,1,0.331754999991972,z,1
12,< < < < <,0,1,0.3822828909906093,z,1
12,> > > > >,0,0,0.3951692679984262,slash,1
12,< < < < <,0,1,0.3053452909953194,z,1
12,< < > < <,1,0,0.5553247999923769,slash,1
12,> > < > >,1,1,0.41116083099041134,z,1
12,< < < < <,0,1,0.39763174499967135,z,1
12,< < < < <,0,1,0.3379753009940032,z,1
12,> > > > >,0,0,0.4033482439990621,slash,1
12,> > > > >,0,0,0.32559791298990604,slash,1
12,> > > > >,0,0,0.3424042489932617,slash,1
12,> > > > >,0,0,0.2865691909973975,slash,1
12,> > > > >,0,0,0.2854601150029339,slash,1
12,> > > > >,0,0,0.3553420370008098,slash,1
12,< < < < <,0,1,0.36603553900204133,z,1
12,> > > > >,0,0,0.24754205500357784,slash,1
12,< < < < <,0,1,0.30740550700284075,z,1
12,> > > > >,0,0,0.2970411959977355,slash,1
12,< < < < <,0,1,0.314435609994689,z,1
12,> > > > >,0,0,0.34043503999419045,slash,1
