subnum,congruency,direction,Response_Time,Response,Accuracy
2,1,0,1.880737240993767,z,0
2,0,1,1.316102053009672,z,1
2,0,0,0.919018649001373,slash,1
2,0,1,0.9154442659928463,z,1
2,1,1,1.0317680279986234,z,1
2,0,0,0.5212583539978368,slash,1
2,0,1,0.5876778669917258,z,1
2,0,1,0.8876456689904444,z,1
2,0,1,0.4215187119989423,slash,0
2,0,1,0.740186036011437,z,1
2,0,1,0.9982632830069633,z,1
2,0,1,0.6319451500021387,z,1
2,0,1,0.5012870270002168,z,1
2,0,0,0.627285059003043,slash,1
2,0,0,0.9366094730066834,slash,1
2,1,1,0.6813162960024783,z,1
2,0,0,0.6346439680055482,slash,1
2,1,0,0.3434305080008926,slash,1
2,0,0,0.852012281990028,slash,1
2,0,0,0.5383837709960062,slash,1
2,0,1,0.5054263380006887,z,1
2,0,0,0.2954328789928695,z,0
2,1,1,0.493859070003964,slash,0
2,0,1,0.546151075992384,z,1
2,0,0,0.8725871120113879,slash,1
2,0,1,0.9022546320047695,z,1
2,0,1,0.5779665440059034,z,1
2,0,1,0.604446501005441,z,1
2,1,0,0.4936804159951862,slash,1
2,0,1,0.662468117006938,z,1
2,1,0,0.8068930609879317,slash,1
2,0,1,1.04399887699401,z,1
2,0,0,0.6692510349967051,slash,1
2,1,0,0.5094282530044438,slash,1
2,0,0,0.574747443999513,slash,1
2,1,0,0.4458009289955953,slash,1
2,0,1,0.5862319230072899,z,1
2,0,0,0.5399192329932703,z,0
2,0,0,0.5164378240006045,slash,1
2,0,0,0.626406533003319,z,0
2,0,1,0.9638879789999919,z,1
2,0,1,0.7742645429971162,slash,0
2,0,1,1.1178035649936646,z,1
2,1,1,0.6604140569979791,z,1
2,0,0,0.7852806400042027,z,0
2,1,0,0.9203182839992223,slash,1
2,0,0,0.7045875919866376,z,0
2,0,1,0.5366566610027803,z,1
2,0,1,0.39500487298937514,z,1
2,0,1,0.5447296880010981,slash,0
2,0,0,0.4923617009917507,slash,1
2,0,0,0.400648058988736,slash,1
2,1,1,0.6474243350094184,z,1
2,0,0,0.6373529460106511,slash,1
2,0,0,0.65338335299748,slash,1
2,0,0,0.4937414370069746,slash,1
2,0,0,0.6103419249993749,z,0
2,0,0,,,-1
2,0,1,1.217456566009787,z,1
2,0,0,0.593464175995905,slash,1
2,1,1,0.5484648959973129,z,1
2,0,1,0.7834516720031388,z,1
2,0,1,0.39413146999140736,z,1
2,0,0,0.5275139289879007,slash,1
2,0,0,0.5215881820040522,slash,1
2,1,1,0.40995258699695114,slash,0
2,0,1,0.6655039799952647,z,1
2,0,1,1.085729247002746,z,1
2,0,0,0.6013360039942199,slash,1
2,0,0,1.2595418150012847,slash,1
2,0,1,1.1558367889956571,z,1
2,0,0,0.6528467410098528,slash,1
2,0,1,0.5960905039974023,z,1
2,0,1,0.7086795820068801,z,1
2,0,1,0.6712249519914621,z,1
2,0,0,0.5047875790041871,slash,1
2,0,0,0.5138365549937589,z,0
2,0,1,1.2984666190022836,z,1
2,0,1,0.7072349030058831,z,1
2,0,1,0.4226472839945927,z,1
2,0,1,0.7953563170012785,z,1
2,1,1,0.41289092200167943,z,1
2,1,0,0.5835589710040949,z,0
2,1,0,2.3392541499924846,slash,1
2,0,1,0.627983583995956,z,1
2,0,0,0.7067150290095014,slash,1
2,0,1,0.6458909200009657,z,1
2,0,0,0.8070078089949675,slash,1
2,0,0,1.078232375002699,slash,1
2,1,0,0.5669623369904002,z,0
2,0,0,0.9467427760100691,slash,1
2,0,1,0.7630434279999463,z,1
2,0,0,0.5637655589962378,slash,1
2,1,0,0.9249767519941088,slash,1
2,0,0,0.9096839420089964,z,0
2,0,0,1.096778788996744,slash,1
2,0,0,0.41277882299618796,z,0
2,0,0,0.8756535130087286,slash,1
2,0,1,0.6552500010002404,z,1
2,1,0,0.5940831949992571,slash,1
